region,class,period,fromYear,toYear,width,gain,loss,net
Southeast,Barren,1973-1980,1973,1980,7,11.571428571428571,20.142857142857142,-8.571428571428571
Southeast,Barren,1980-1986,1980,1986,6,13.333333333333334,21.166666666666668,-7.833333333333334
Southeast,Barren,1986-1992,1986,1992,6,10.333333333333332,23.166666666666668,-12.833333333333336
Southeast,Barren,1992-2000,1992,2000,8,15.5,6.75,8.75
Southeast,Barren,2001-2006,2001,2006,5,208,186.4,21.599999999999994
Southeast,Barren,2006-2011,2006,2011,5,236.4,126.4,110
Southeast,Developed,1973-1980,1973,1980,7,887.1428571428571,4.571428571428571,882.5714285714286
Southeast,Developed,1980-1986,1980,1986,6,1053.3333333333333,15.166666666666666,1038.1666666666665
Southeast,Developed,1986-1992,1986,1992,6,1266.8333333333333,18.666666666666668,1248.1666666666665
Southeast,Developed,1992-2000,1992,2000,8,1412.125,7.625,1404.5
Southeast,Developed,2001-2006,2001,2006,5,943.8,0,943.8
Southeast,Developed,2006-2011,2006,2011,5,469.4,0,469.4
Southeast,Forest,1973-1980,1973,1980,7,2441.857142857143,4369,-1927.1428571428569
Southeast,Forest,1980-1986,1980,1986,6,3890,5218.333333333333,-1328.333333333333
Southeast,Forest,1986-1992,1986,1992,6,5743.5,6478.666666666667,-735.166666666667
Southeast,Forest,1992-2000,1992,2000,8,4996,6042.875,-1046.875
Southeast,Forest,2001-2006,2001,2006,5,2723.2,5020,-2296.8
Southeast,Forest,2006-2011,2006,2011,5,3494.4,6674.8,-3180.4
Southeast,Grassland/Shrubland,1973-1980,1973,1980,7,582.7142857142857,366.5714285714286,216.14285714285705
Southeast,Grassland/Shrubland,1980-1986,1980,1986,6,1010.6666666666666,607.3333333333333,403.33333333333337
Southeast,Grassland/Shrubland,1986-1992,1986,1992,6,1059.8333333333333,851,208.83333333333326
Southeast,Grassland/Shrubland,1992-2000,1992,2000,8,577.125,701.25,-124.125
Southeast,Grassland/Shrubland,2001-2006,2001,2006,5,5012.4,2445,2567.3999999999996
Southeast,Grassland/Shrubland,2006-2011,2006,2011,5,6650,3526,3124
Southeast,Mechanically disturbed,1973-1980,1973,1980,7,2967,2338,629
Southeast,Mechanically disturbed,1980-1986,1980,1986,6,4147.333333333334,3437.5,709.8333333333339
Southeast,Mechanically disturbed,1986-1992,1986,1992,6,5535.833333333334,4219.166666666667,1316.666666666667
Southeast,Mechanically disturbed,1992-2000,1992,2000,8,5081.25,4143.375,937.875
Southeast,Mechanically disturbed,2001-2006,2001,2006,5,0,0,0
Southeast,Mechanically disturbed,2006-2011,2006,2011,5,0,0,0
Southeast,Mining,1973-1980,1973,1980,7,387,235.28571428571428,151.71428571428572
Southeast,Mining,1980-1986,1980,1986,6,293.8333333333333,296.8333333333333,-3
Southeast,Mining,1986-1992,1986,1992,6,221.16666666666666,337.1666666666667,-116.00000000000003
Southeast,Mining,1992-2000,1992,2000,8,170.375,294.875,-124.5
Southeast,Mining,2001-2006,2001,2006,5,0,0,0
Southeast,Mining,2006-2011,2006,2011,5,0,0,0
Southeast,Nonmechanically disturbed,1973-1980,1973,1980,7,20.57142857142857,23,-2.4285714285714306
Southeast,Nonmechanically disturbed,1980-1986,1980,1986,6,58.83333333333333,23.833333333333332,35
Southeast,Nonmechanically disturbed,1986-1992,1986,1992,6,12,47.5,-35.5
Southeast,Nonmechanically disturbed,1992-2000,1992,2000,8,146.5,17.625,128.875
Southeast,Nonmechanically disturbed,2001-2006,2001,2006,5,0,0,0
Southeast,Nonmechanically disturbed,2006-2011,2006,2011,5,0,0,0
Southeast,Snow/Ice,1973-1980,1973,1980,7,0,0,0
Southeast,Snow/Ice,1980-1986,1980,1986,6,0,0,0
